Correspondent,Assignors,Assignees,Invention Title,Application Date,Publish Date,Issue Date
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,FEEDING APPARATUS ELECTRONIC APPARATUS INCLUDING FEEDING APPARATUS AND FEEDING METHOD,03-11-2010,09-06-2011,13-08-2013,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,SHEET FEEDING APPARATUS DOCUMENT READING APPARATUS AND METHOD FOR FEEDING SHEET,14-02-2011,01-09-2011,05-03-2013,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,NETWORK SYSTEM HOME GATEWAY CONTENT PLAYBACK METHOD AND RECORDING MEDIA FOR RECORDING A NETWORK MANAGEMENT PROGRAM,06-08-2013,28-11-2013,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,DISTANCE MEASURING METHOD DISTANCE MEASURING DEVICE USING SAME AND DISTANCE MEASURING STRUCTURE USING SAME,20-04-2004,27-01-2005,19-06-2007,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,INFORMATION TERMINAL POWER SAVING METHOD IN INFORMATION TERMINAL AND RECORDING MEDIUM WHICH RECORDS PROGRAM,23-07-2013,14-11-2013,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,WIRELESS COMMUNICATION USING COMMUNICATION RATE BASED ON RADIO SIGNAL PROPAGATION CONDITION,22-10-2008,30-04-2009,22-02-2011,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,DATA PROCESSING APPARATUS AND DATA TRANSFER METHOD,17-07-2008,29-01-2009,15-02-2011,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,ACCESS CONTROL DEVICE AND ACCESS CONTROL METHOD,22-10-2007,24-04-2008,13-04-2010,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,ORIGINAL DOCUMENT SIZE DETECTION DEVICE,15-08-2012,21-02-2013,21-01-2014,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,TIMING OF SYNCHRONIZING SIGNAL,25-01-2011,02-06-2011,02-09-2014,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,COMMUNICATION SYSTEM AND E-MAIL CHECK METHOD,13-03-2008,09-10-2008,13-03-2012,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,WIRELESS COMMUNICATION SYSTEM CONTROL APPARATUS COMMUNICATION METHOD SWITCHING METHOD AND PROGRAM,11-02-2011,03-11-2011,26-11-2013,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,CALL SIGNAL GENERATING DEVICE,09-05-2011,08-12-2011,04-03-2014,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,OPTICAL DEVICE IMAGE READING APPARATUS AND ADJUSTING METHOD FOR OPTICAL DEVICE,11-05-2009,12-11-2009,17-07-2012,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,IMAGE READING APPARATUS MOVING BODY FIXING STRUCTURE AND ELECTRONIC EQUIPMENT,10-04-2012,11-10-2012,28-01-2014,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,IMAGE PROCESSING DEVICE METHOD FOR PROCESSING IMAGE AND PROGRAM FOR PROCESSING IMAGE,06-12-2011,14-06-2012,01-10-2013,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,ROUTER DEVICE PACKET CONTROL METHOD BASED ON PREFIX MANAGEMENT AND PROGRAM,10-06-2013,03-10-2013,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,DATA DISTRIBUTION APPARATUS DATA DISTRIBUTION METHOD AND DISTRIBUTION CONTROL PROGRAM,10-10-2008,16-04-2009,29-04-2014,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,DEVICE HAVING ELECTRONIC COMPONENTS MOUNTED THEREIN AND METHOD FOR MANUFACTURING SUCH DEVICE,15-01-2010,29-07-2010,21-02-2012,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,IMAGE READING SYSTEM USING AN ANGLE ADJUSTMENT DEVICE,11-04-2012,02-08-2012,20-05-2014,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,IMAGE COMBINING DEVICE AND IMAGE COMBINING METHOD,12-03-2009,01-10-2009,24-06-2014,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,WIRELESS LAN TERMINAL A WIRELESS LAN SYSTEM A MAC ADDRESS LEARNING METHOD AND A COMPUTER PROGRAM PRODUCT,18-07-2008,29-01-2009,24-07-2012,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,EDGE DETECTING DEVICE ELECTRONIC EQUIPMENT AND EDGE DETECTING METHOD USING THE SAME,04-09-2008,12-03-2009,12-04-2011,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,MIRROR SUPPORT DEVICE AND IMAGE READER,04-08-2011,05-04-2012,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,ELECTRIC POWER PATH SWITCHING METHOD AND ELECTRIC POWER PATH SWITCHING CIRCUIT,01-09-2011,26-04-2012,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,ANTENNA DEVICE,19-04-2013,08-08-2013,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,WIRELESS COMMUNICATION SYSTEM ROUTER APPARATUS WIRELESS COMMUNICATION METHOD AND PROGRAM,08-02-2011,09-06-2011,14-05-2013,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,THREE-DIMENSIONALLY INTEGRATED SEMICONDUCTOR DEVICE AND ELECTRONIC DEVICE INCORPORATION BY REFERENCE,17-01-2012,19-07-2012,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,WIRELESS COMMUNICATION,29-11-2012,11-07-2013,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,INFORMATION MANAGEMENT APPARATUS INFORMATION MANAGEMENT SYSTEM INFORMATION MANAGEMENT METHOD AND PROGRAM,08-05-2012,15-11-2012,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,COMMUNICATION APPARATUS A FIREWALL CONTROL METHOD AND A FIREWALL CONTROL PROGRAM,29-01-2009,06-08-2009,07-08-2012,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,SEMICONDUCTOR DEVICE,30-08-2010,10-02-2011,25-12-2012,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,MULTIBAND ANTENNA AND MOBILE TERMINAL,21-05-2014,02-10-2014,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,ANTENNA AND MOBILE TERMINAL INCLUDING THE ANTENNA,15-03-2013,18-07-2013,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,LIGHT COLLECTING MEMBER AND OPTICAL MODULE AND IMAGE READING DEVICE HAVING THE LIGHT COLLECTING MEMBER,05-08-2013,06-02-2014,16-12-2014,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,AUTOMATIC DOCUMENT FEEDER,09-05-2011,19-01-2012,20-11-2012,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,MANAGEMENT DEVICE MANAGEMENT METHOD AND PROGRAM RECORDING MEDIUM,01-09-2011,15-03-2012,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,DOCUMENT CONVEYING APPARATUS AND DOCUMENT CONVEYING METHOD,27-06-2012,03-01-2013,03-06-2014,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,DATA OUTPUT ADJUSTMENT APPARATUS DATA OUTPUT ADJUSTMENT METHOD RGMII NETWORK SYSTEM AND RGMII NETWORK COMMUNICATION PATH CHANGE METHOD,01-06-2012,06-12-2012,09-09-2014,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,DOCUMENT COLOR DETERMINING APPARATUS IMAGE PROCESSING APPARATUS DOCUMENT COLOR DETERMINING METHOD AND COMPUTER READABLE MEDIUM STORED DOCUMENT COLOR DETERMINING PROGRAM,01-09-2010,03-03-2011,09-04-2013,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,HEAT CONDUCTION BOARD AND MOUNTING METHOD OF ELECTRONIC COMPONENTS,22-06-2010,19-05-2011,02-10-2012,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,VOLTAGE GENERATION APPARATUS AND VOLTAGE GENERATION METHOD,20-07-2012,31-01-2013,23-12-2014,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,METHOD OF MANUFACTURING A THREE-DIMENSIONAL PACKAGING SEMICONDUCTOR DEVICE,19-11-2012,28-03-2013,17-02-2015,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,RADIO LAN SYSTEM USING COMMUNICATION APPARATUS AND METHOD FOR SETTING OPERATION MODE,20-06-2007,27-12-2007,11-05-2010,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,RADIO COMMUNICATION TERMINAL METHOD FOR SELECTING COMMUNICATION CHANNEL AND COMPUTER-READABLE STORAGE MEDIUM,06-03-2009,09-09-2010,21-08-2012,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,DOCUMENT CONVEYING DEVICE AND DOCUMENT READING APPARATUS USING THE SAME,03-05-2010,30-12-2010,21-05-2013,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,COMMUNICATION TERMINAL,25-01-2011,26-05-2011,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,PAPER AUTOMATIC-FEEDING APPARATUS COPYING MACHINE AND FACSIMILE APPARATUS,04-08-2011,29-03-2012,16-04-2013,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,COMMUNICATION TERMINAL APPARATUS AND FACSIMILE COMMUNICATION METHOD,24-09-2007,27-03-2008,09-04-2013,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,POSITION SEARCH SYSTEM A MOBILE INFORMATION TERMINAL A POSITION SEARCH METHOD AND A RECORDING MEDIUM WHICH RECORDS A POSITION SEARCH PROGRAM,19-06-2013,10-10-2013,
SUGHRUE MION PLLC,NEC ACCESSTECHNICA LTD. - NEC INFRONTIA CORPORATION - ,NEC PLATFORMS LTD. - ,Image compression unit image decompression unit and image processing system,13-10-2009,13-05-2010,14-08-2012,
TREVOR K. COPELAND,COOK IRELAND LIMITED - ,COOK MEDICAL TECHNOLOGIES LLC - ,FIDUCIAL DEPLOYMENT NEEDLE SYSTEM,13-08-2014,27-11-2014,
WENDEROTH LIND & PONACK LLP,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,MULTISTAGE PRESSURE CONDENSER AND STEAM TURBINE PLANT EQUIPPED WITH THE SAME,22-09-2011,30-08-2012,
WENDEROTH LIND & PONACK LLP,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,TURBINE EXTERNAL COMPARTMENT FRAME FOR TURBINE EXTERNAL COMPARTMENT AND METHOD OF CONSTRUCTING FRAME FOR TURBINE EXTERNAL COMPARTMENT,26-03-2013,11-07-2013,
WENDEROTH LIND & PONACK LLP,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,COOLNG STRUCTURE FOR RECOVERY-TYPE AIR-COOLED GAS TURBINE COMBUSTOR,21-12-2012,25-04-2013,
WENDEROTH LIND & PONACK LLP,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,BURNER REACTION FURNACE SUCH AS GASIFICATION FURNACE INCLUDING THE BURNER AND POWER PLANT INCLUDING THE REACTION FURNACE,23-04-2013,12-09-2013,
WENDEROTH LIND & PONACK LLP,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,IGNITION TORCH AND PRESSURIZED GASIFICATION FURNACE INCLUDING THE SAME,07-02-2013,06-06-2013,
WENDEROTH LIND & PONACK LLP,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,TURBINE-BLADE RETAINING STRUCTURE AND ROTARY MACHINE HAVING THE SAME,28-01-2013,29-08-2013,
WENDEROTH LIND & PONACK LLP,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,FLARE SYSTEM AND METHOD FOR REDUCING DUST THEREFROM,04-02-2013,22-08-2013,
WENDEROTH LIND & PONACK LLP,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,GASIFICATION SYSTEM,28-01-2014,26-06-2014,
WENDEROTH LIND & PONACK LLP,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,COMBUSTION SYSTEM,12-12-2012,18-04-2013,
WENDEROTH LIND & PONACK LLP,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,GASIFICATION POWER GENERATION PLANT,17-10-2012,14-02-2013,
WENDEROTH LIND & PONACK LLP,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,SEAL STRUCTURE TURBINE MACHINE HAVING THE SAME AND POWER GENERATING PLANT EQUIPPED WITH THE SAME,25-09-2012,18-04-2013,
WENDEROTH LIND & PONACK LLP,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,GASIFIER START-UP METHOD GASIFIER AND INTEGRATED GASIFICATION COMBINED CYCLE FACILITY,06-02-2014,14-08-2014,
WENDEROTH LIND & PONACK LLP,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,PULVERIZED-COAL SUPPLY SYSTEM FOR COAL GASIFICATION FURNACE,22-07-2013,14-11-2013,
DIRECTOR DEITR,CALIFORNIA INSTITUTE OF TECHNOLOGY - ,NATIONAL INSTITUTES OF HEALTH (NIH) U.S. DEPT. OF HEALTH AND HUMAN SERVICES (DHHS) U.S. GOVERNMENT - ,DELIVERY OF PROTEINS USING ADENO-ASSOCIATED VIRUS (AAV) VECTORS,21-02-2012,13-09-2012,21-10-2014,
DITTHAVONG & STEINER P.C.,LEE RONG-REN - CHEN CHENG-HONG - NI CHIH-PENG - LIN CHUN-YU - ,EPISTAR CORPORATION - ,LIGHT-EMITTING DEVICE AND METHOD FOR MANUFACTURING THE SAME,11-03-2014,10-07-2014,
ANDREW B. ULMER,ETHICON ENDO-SURGERY INC. - ,ACCLARENT INC. - ,INFLATOR FOR DILATION OF ANATOMICAL PASSAGEWAY,09-09-2013,13-03-2014,
JENNIFER R. SENG,RESENDES RUI - ADKINSON DANA KRISTINE - FERRARI LORENZO PAUL - ,LANXESS INC. - ,BUTYL IONOMERS FOR USE IN REDUCING A POPULATION OF AND/OR PREVENTING ACCUMULATION OF ORGANISMS AND COATINGS MADE THEREFROM,29-03-2012,12-07-2012,03-02-2015,
RIDOUT & MAYBEE LLP,AHMADI HOMAYOUN - SOUDMAND-ASLI MOHAMMADREZA - NAMAZI HASSANALI - ,INTELLETTO TECHNOLOGIES INC. - ,MULTIPLE TECHNOLOGY ROUTER FOR RADIO FREQUENCY IDENTIFICATION (RFID) AND BARCODE,23-03-2005,28-09-2006,02-03-2010,
LINDSAY STANICH,HILL ERIC - ,THE REGENTS OF THE UNIVERSITY OF NEW MEXICO - ,STRUCTURE SYNTHESIS AND APPLICATIONS FOR OLIGO PHENYLENE ETHYNYLENES (OPEs),06-03-2013,17-10-2013,
BARNES & THORNBURG LLP,DEPUY PRODUCTS INC. - ,DEPUY SPINE LLC - ,METHOD OF FABRICATING CUSTOMIZED PATIENT-SPECIFIC BONE CUTTING BLOCKS,21-08-2012,14-03-2013,
BARNES & THORNBURG LLP,DEPUY SPINE LLC - ,HAND INNOVATIONS LLC - ,METHOD OF FABRICATING CUSTOMIZED PATIENT-SPECIFIC BONE CUTTING BLOCKS,21-08-2012,14-03-2013,
THE LAW OFFICE OF MICHAEL E. KONDOUDIS,OPLON B.V. - ,OPLON PURE SCIENCE LTD - ,BIOCIDIC PACKAGING FOR COSMETICS AND FOODSTUFFS,05-03-2010,15-07-2010,
HUNTON & WILLIAMS LLP,CHASSET SOPHIE - CHEVREUIL FRANCIS - LEDOUSSAL BENOIT - LE STRAT FRÉDÉRIC - BENAROUS RICHARD - ,LABORATOIRE BIODIM - ,INHIBITORS OF VIRAL REPLICATION THEIR PROCESS OF PREPARATION AND THEIR THERAPEUTICAL USES,10-10-2013,30-01-2014,
JENNIFER R. SENG,QUEEN'S UNIVERSITY AT KINGSTON - ,LANXESS INC. - ,BUTYL IONOMERS FOR USE IN REDUCING A POPULATION OF AND/OR PREVENTING ACCUMULATION OF ORGANISMS AND COATINGS MADE THEREFROM,29-03-2012,12-07-2012,03-02-2015,
BARNES & THORNBURG LLP,HAND INNOVATIONS LLC - ,DEPUY SYNTHES PRODUCTS LLC - ,METHOD OF FABRICATING CUSTOMIZED PATIENT-SPECIFIC BONE CUTTING BLOCKS,21-08-2012,14-03-2013,
NIXON & VANDERHYE PC,BROCCHINI STEPHEN JAMES - GODWIN ANTONY ROBERT - PEDONE ELISA - CHOI JI-WON - SHAUNAK SUNIL - ,POLYTHERICS LIMITED - ,CONJUGATED BIOLOGICAL MOLECULES AND THEIR PREPARATION,28-07-2014,18-12-2014,
AMSTER ROTHSTEIN & EBENSTEIN LLP,OMYA DEVELOPMENT AG - ,OMYA INTERNATIONAL AG - ,USE OF POLYETHYLENIMINES AS ADDITIVE IN AQUEOUS SUSPENSIONS OF CALCIUM CARBONATE-COMPRISING MATERIALS,30-09-2014,15-01-2015,
BACON & THOMAS PLLC,KANTO GAKUIN UNIVERSITY SURFACE ENGINEERING RESEARCH INSTITUTE - ,KANTO GAKUIN SCHOOL CORPORATION - ,MATERIAL FOR FORMING ELECTROLESS PLATE COATING SOLUTION FOR ADHERING CATALYST METHOD FOR FORMING ELECTROLESS PLATE AND PLATING METHOD,31-07-2009,13-01-2011,27-05-2014,
WADE R. ORR ESQ.,MICELI DAVID A. - MICELI JOSEPH A. - ,TRI STATE DISTRIBUTION INC. - ,ONE PIECE REVERSIBLE CLOSURE AND CONTAINER SYSTEM,05-11-2013,27-02-2014,
BARB STIEVE,ROZOWSKI PETER - ,ROHM AND HAAS COMPANY - ,Polymers as additives for the separation of oil and water phases in emulsions and dispersions,04-08-2010,10-02-2011,17-02-2015,
ROBERT BLAHA,LSI CORPORATION - ,INTEL CORPORATION - ,Digital Signal Processor Having Instruction Set With One Or More Non-Linear Functions Using Reduced Look-Up Table,28-11-2008,03-06-2010,
LAURA KONRATH,CALIFORNIA PRODUCTS CORPORATION - FIBERLOCK TECHNOLOGIES INC. - LENOX ACQUISITION LLC - GRAMERCY ACQUISITION LLC - MIRROR ACQUISITION LLC - CPC HOLDCO INC. - ,BANK OF MONTREAL AS AGENT - ,METHOD FOR REPAIRING A CRACK IN A RECREATIONAL COURT OR SURFACE,04-12-2006,28-06-2007,08-07-2008,
GRACE S. COLLINS,NEXCORE TECHNOLOGY LLC - ,PLEXUS FUND III L.P. - ,AUXILIARY ANTENNA ARRAY FOR SYSTEM FOR DETECTING FOREIGN OBJECTS IN A SURGICAL PATIENT,22-01-2007,24-07-2008,15-09-2009,
ROBERT BLAHA,INTEL CORPORATION - ,INTEL CORPORATION - ,Digital Signal Processor Having Instruction Set With One Or More Non-Linear Functions Using Reduced Look-Up Table With Exponentially Varying Step-Size,28-11-2008,03-06-2010,
EVELYN M. RABIN,SCHMELCHER MATHIAS - ,THE UNITED STATES OF AMERICA AS REPRESENTED BY THE SECRETARY OF AGRICULTURE - ,Staphylococcus haemolyticus Prophage PhiSH2 Endolysin is Lytic for Staphylococcus aureus,06-09-2012,06-03-2014,
SUTTON MCAUGHAN DEAVER PLLC,ZAHRADNIK ANTON F. - BUSKE ROBERT J. - PESSIER RUDOLF C. - NGUYEN DON Q. - DAMSCHEN MICHAEL S. - ROTHE MITCHELL A. - HOWARD JOHNATHAN - VEMPATI CHAITANYA K. - PREVOST GREGORY C. - BRADFORD JOHN F. - ,BAKER HUGHES INCORPORATED - ,Hybrid Drill Bits Having Increased Drilling Efficiency,15-11-2012,28-11-2013,
ERIC S. FURMAN,WAGNER FLEMMING - WAGNER JOHN - ,MEDCOMB HOLDING APS - ,DISPOSABLE RIGID CONTAINER FOR PHARMACEUTICAL COMPOSITIONS,20-03-2014,07-08-2014,
CHRISTOPHER MA,MCNABB RONALD STEVEN - GILLETT NICHOLAS DANVERS PENROSE - ,L-3 COMMUNICATIONS SECURITY AND DETECTION SYSTEMS INC. - ,ADAPTIVE SCANNING IN AN IMAGING SYSTEM,14-09-2012,03-01-2013,
LOCKE LORD LLP,SOLMETEX LLC - ,TD BANK N.A. - ,COMBINED OXIDATION AND CHELATING ADSORPTION SYSTEM FOR REMOVAL OF MERCURY FROM WATER,15-07-1999,18-02-2003,
LOCKE LORD LLP,SOLMETEX LLC - ,TD BANK N.A. - ,Sorbent For Selective Removal Of Contaminants From Fluids,09-08-2006,14-02-2008,
LOCKE LORD LLP,SOLMETEX LLC - ,TD BANK N.A. - ,PROCESS FOR SELECTIVE REMOVAL AND IMMOBILIZATION OF CONTAMINANTS FROM SPENT SORBENTS,29-11-2005,01-02-2007,25-11-2008,
LOCKE LORD LLP,SOLMETEX LLC - ,TD BANK N.A. - ,FILTER AND SORBENT FOR REMOVAL OF CONTAMINANTS FROM A FLUID,11-10-2005,12-04-2007,27-05-2008,
LOCKE LORD LLP,SOLMETEX LLC - ,TD BANK N.A. - ,APPARATUS  REMOVING METALLIC PARTICLES FROM EFFLUENT LIQUID WASTE,18-07-2001,15-11-2001,17-02-2004,
LOCKE LORD LLP,SOLMETEX LLC - ,TD BANK N.A. - ,APPARATUS AND PROCESS FOR REMOVING METALLIC PARTICLES FROM EFFLUENT LIQUID WASTE,23-01-2001,21-06-2001,15-07-2003,
LOCKE LORD LLP,SOLMETEX LLC - ,TD BANK N.A. - ,APPARATUS FOR REMOVING METALLIC PARTICLES FROM EFFLUENT LIQUID WASTE,09-09-2003,11-03-2004,20-09-2005,
LOCKE LORD LLP,SOLMETEX LLC - ,TD BANK N.A. - ,METHOD AND SORBENT FOR SELECTIVE REMOVAL OF CONTAMINANTS FROM FLUIDS,24-03-2006,05-08-2008,
BARB STIEVE,MANNA JOSEPH - MEHTA SOMIL CHANDRAKANT - ,ROHM AND HAAS COMPANY - ,Polymers as additives for the separation of oil and water phases in emulsions and dispersions,04-08-2010,10-02-2011,17-02-2015,
DICKE BILLIG & CZAJA,HULTGREN NATHANIEL L. - REEK DANIEL C. - HEINE JAMES - ,DRY GRAIN LLC - ,RADIO FREQUENCY DRYING OF HARVESTED MATERIAL,25-03-2014,25-09-2014,
JAMES A. OLIFF,KANAI MASASHI - ARAI YOSHIFUMI - KURASAWA HIKARU - ,SEIKO EPSON CORPORATION - ,CALIBRATION CURVE CREATING METHOD AND APPARATUS FOR THE SAME AND BLOOD COMPONENT CALIBRATION APPARATUS,17-07-2014,22-01-2015,
BIRCH STEWART KOLASCH & BIRCH LLP,MITSUBISHI HEAVY INDUSTRIES LTD. - ,MITSUBISHI HITACHI POWER SYSTEMS LTD. - ,THERMAL POWER PLANT USING LOW-GRADE COAL AS FUEL,27-09-2011,12-01-2012,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,Multi-Function Condiment Container,23-04-2010,28-10-2010,
KEN TAN LEGAL ASSISTANT,H. J. HEINZ COMPANY AS GRANTOR - ,WELLS FARGO BANK NATIONAL ASSOCIATION AS COLLATERAL AGENT - ,PACKAGE,21-02-2013,27-06-2013,
